algo,feat_set,pa_method,rep,fold,k_effective,auc_roc,pr_auc,tss,tss_thr,thr_source,sensitivity,specificity,brier,cal_slope,cal_int,n_pres,n_bg,n_feat_vif,selected,pa_ratio,n_pa_actual,n_pres_tr,n_pres_dropped,n_eval_bg,inner_threshold,hp_str
MXN,M_SP,spatial_constrained,4,1,3,0.5601923076923077,0.03965028669070963,0.24499999992246435,0.5338,inner_oof,1.0,0.245,0.5914660471537513,0.1862,-3.6759,13,400,8,"bio07,bio10,bio15,bio17,P1_pop_density,P2_dist_road,P3_road_density,P4_dist_urban",1:3,75,25,0,400,0.5338,"{""l1_ratio"": 0.0, ""C"": 0.05}"
MXN,M_SP,two_step,4,1,3,0.7740384615384615,0.07173306387700756,0.5249999999217643,0.9796,inner_oof,1.0,0.525,0.6545944899944413,0.4183,-5.1765,13,400,8,"bio07,bio10,bio15,bio17,P1_pop_density,P2_dist_road,P3_road_density,P4_dist_urban",1:3,75,25,0,400,0.9796,"{""l1_ratio"": 0.0, ""C"": 5.0}"
MXN,M_SP,uncertainty_zone,4,1,3,0.8138461538461539,0.10495543587815762,0.549999999921702,0.131,inner_oof,1.0,0.55,0.14742141891290475,0.5076,-3.017,13,400,8,"bio07,bio10,bio15,bio17,P1_pop_density,P2_dist_road,P3_road_density,P4_dist_urban",1:1,25,25,0,400,0.131,"{""l1_ratio"": 0.75, ""C"": 1.0}"
MXN,M_SAP,random,4,1,3,0.8811538461538462,0.40790684436492686,0.6498076922520442,0.8203,inner_oof,0.6923,0.9575,0.18757505327672042,1.2707,-3.9062,13,400,9,"bio07,bio10,bio15,bio17,A1_dist_waterway,A2_waterway_order,P1_pop_density,P3_road_density,P4_dist_urban",1:3,75,25,0,400,0.8203,"{""l1_ratio"": 0.0, ""C"": 0.5}"
MXN,M_SAP,spatial_constrained,4,1,3,0.6925000000000001,0.06638754270728521,0.37249999992214566,0.6836,inner_oof,1.0,0.3725,0.5026955300369274,0.4326,-4.0307,13,400,9,"bio07,bio10,bio15,bio17,A1_dist_waterway,A2_waterway_order,P1_pop_density,P3_road_density,P4_dist_urban",1:3,75,25,0,400,0.6836,"{""l1_ratio"": 0.0, ""C"": 0.05}"
MXN,M_SAP,two_step,4,1,3,0.6003846153846154,0.04427120436071555,0.32499999992226436,0.9292,inner_oof,1.0,0.325,0.7067249750726072,0.193,-4.0392,13,400,9,"bio07,bio10,bio15,bio17,A1_dist_waterway,A2_waterway_order,P1_pop_density,P3_road_density,P4_dist_urban",1:3,75,25,0,400,0.9292,"{""l1_ratio"": 0.0, ""C"": 0.5}"
MXN,M_SAP,uncertainty_zone,4,1,3,0.8078846153846153,0.10008717786741587,0.3524999999221956,0.3228,inner_oof,1.0,0.3525,0.1896764714761585,1.7658,-3.3817,13,400,9,"bio07,bio10,bio15,bio17,A1_dist_waterway,A2_waterway_order,P1_pop_density,P3_road_density,P4_dist_urban",1:5,125,25,0,400,0.3228,"{""l1_ratio"": 1.0, ""C"": 0.1}"
RF,M_S,random,4,2,3,0.9021153846153847,0.19324667663202144,0.6474999999214581,0.2963,inner_oof,1.0,0.6475,0.1535552469883787,1.3633,-3.6356,13,400,5,"bio04,bio10,bio12,bio15,bio17",1:5,125,25,0,400,0.2963,"{""n_estimators"": 200, ""min_samples_leaf"": 2, ""max_features"": 0.5, ""max_depth"": null}"
RF,M_S,spatial_constrained,4,2,3,0.931923076923077,0.30254089973750425,0.436538461500521,0.7767,inner_oof,0.4615,0.975,0.13656483723432877,1.5008,-3.4866,13,400,5,"bio04,bio10,bio12,bio15,bio17",1:3,75,25,0,400,0.7767,"{""n_estimators"": 300, ""min_samples_leaf"": 1, ""max_features"": 0.7, ""max_depth"": null}"
RF,M_S,two_step,4,2,3,0.8915384615384615,0.16250416985342708,0.6174999999215331,0.4333,inner_oof,1.0,0.6175,0.3335679580306699,0.22,-3.9474,13,400,5,"bio04,bio10,bio12,bio15,bio17",1:3,75,25,0,400,0.4333,"{""n_estimators"": 300, ""min_samples_leaf"": 1, ""max_features"": 0.7, ""max_depth"": null}"
